Item,ORIGEN PROVEEDOR,PROVEEDOR CCIAL,Estado,COMPRAS
39767,0002 - IMPORTADO,0170 - MILWAUKEE,Bloqueado,0002 - NO
16200,0002 - IMPORTADO,0165 - VERA,Bloqueado,0002 - NO
13270,0001 - NACIONAL,0010 - GRUPO APEX,Bloqueado,0002 - NO
820,0001 - NACIONAL,0033 - CILES,Inactivo,0002 - NO
1002,0001 - NACIONAL,0033 - CILES,Inactivo,0002 - NO
1005,0001 - NACIONAL,0033 - CILES,Inactivo,0002 - NO
1012,0001 - NACIONAL,0033 - CILES,Inactivo,0002 - NO
1023,0001 - NACIONAL,0033 - CILES,Bloqueado,0002 - NO
1029,0001 - NACIONAL,0033 - CILES,Inactivo,0002 - NO
32181,0001 - NACIONAL,0137 - SAFE,Bloqueado,0002 - NO
8731,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
5284,0002 - IMPORTADO,0013 - ATLAS,Inactivo,0002 - NO
5287,0002 - IMPORTADO,0013 - ATLAS,Inactivo,0002 - NO
5293,0002 - IMPORTADO,0013 - ATLAS,Inactivo,0002 - NO
5300,0002 - IMPORTADO,0013 - ATLAS,Bloqueado,0002 - NO
5308,0002 - IMPORTADO,0013 - ATLAS,Inactivo,0002 - NO
5311,0002 - IMPORTADO,0013 - ATLAS,Inactivo,0002 - NO
5324,0002 - IMPORTADO,0013 - ATLAS,Inactivo,0002 - NO
8787,0001 - NACIONAL,0117 - PEGAUCHO,Bloqueado,0002 - NO
40579,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
6016,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
29946,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
124271,0001 - NACIONAL,0101 - LIDER,Inactivo,0002 - NO
124388,0001 - NACIONAL,0101 - LIDER,Inactivo,0002 - NO
124628,0001 - NACIONAL,0101 - LIDER,Inactivo,0002 - NO
124719,0001 - NACIONAL,0101 - LIDER,Inactivo,0002 - NO
358564,0001 - NACIONAL,0083 - INCA,Bloqueado,0002 - NO
359398,0001 - NACIONAL,0083 - INCA,Inactivo,0002 - NO
359588,0001 - NACIONAL,0083 - INCA,Inactivo,0002 - NO
362103,0001 - NACIONAL,0083 - INCA,Inactivo,0002 - NO
66605,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
66928,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
67157,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
67280,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
67322,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
611210,0001 - NACIONAL,0129 - GERFOR,Inactivo,0002 - NO
611517,0001 - NACIONAL,0129 - GERFOR,Bloqueado,0002 - NO
611608,0001 - NACIONAL,0129 - GERFOR,Bloqueado,0002 - NO
612036,0001 - NACIONAL,0122 - PLASTICOS GERFOR,Inactivo,0002 - NO
612101,0001 - NACIONAL,0122 - PLASTICOS GERFOR,Inactivo,0002 - NO
615054,0001 - NACIONAL,0031 - CESOL,Bloqueado,0002 - NO
615153,0001 - NACIONAL,0031 - CESOL,Bloqueado,0002 - NO
615484,0001 - NACIONAL,0031 - CESOL,Bloqueado,0002 - NO
620039,0001 - NACIONAL,0057 - FLEXCO,Bloqueado,0002 - NO
621300,0001 - NACIONAL,0070 - GRIFFOS,Inactivo,0002 - NO
622902,0001 - NACIONAL,0070 - GRIFFOS,Inactivo,0002 - NO
623744,0001 - NACIONAL,0070 - GRIFFOS,Inactivo,0002 - NO
470948,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
471490,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
472241,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
472324,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
472480,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
472662,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
472746,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
477281,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
477364,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
483024,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
483149,0001 - NACIONAL,0081 - IMPUCHE,Inactivo,0002 - NO
14108,0001 - NACIONAL,0086 - INCOLMA,Bloqueado,0002 - NO
11700,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
11740,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
14354,0001 - NACIONAL,0071 - GRIVAL,Bloqueado,0002 - NO
14357,0001 - NACIONAL,0071 - GRIVAL,Bloqueado,0002 - NO
11757,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
18226,0001 - NACIONAL,0177 - STEREN,Bloqueado,0002 - NO
15673,0001 - NACIONAL,0020 - C.A MEJIA,Bloqueado,0002 - NO
4148,0001 - NACIONAL,0024 - CARBORUNDUM,Bloqueado,0002 - NO
4155,0001 - NACIONAL,0024 - CARBORUNDUM,Bloqueado,0002 - NO
43714,0001 - NACIONAL,0010 - GRUPO APEX,Bloqueado,0002 - NO
2963,0001 - NACIONAL,0029 - CENTELSA,Inactivo,0002 - NO
2995,0001 - NACIONAL,0014 - AVE,Bloqueado,0002 - NO
3147,0002 - IMPORTADO,0124 - POSITEC,Inactivo,0002 - NO
3151,0002 - IMPORTADO,0124 - POSITEC,Inactivo,0002 - NO
45299,0002 - IMPORTADO,0216 - GBS,Bloqueado,0002 - NO
45307,0001 - NACIONAL,0010 - GRUPO APEX,Activo,0002 - NO
67462,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
67496,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
67603,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
68676,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
69005,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
69724,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
74898,0001 - NACIONAL,0088 - INDURRAJES,Inactivo,0002 - NO
77339,0001 - NACIONAL,0156 - TECNOQUIMICAS,Inactivo,0002 - NO
431767,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
363531,0001 - NACIONAL,0083 - INCA,Bloqueado,0002 - NO
364539,0001 - NACIONAL,0083 - INCA,Bloqueado,0002 - NO
4463,0001 - NACIONAL,0091 - INVESA,Bloqueado,0002 - NO
43325,0001 - NACIONAL,0216 - GBS,Bloqueado,0002 - NO
941997,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
200396,0002 - IMPORTADO,0165 - VERA,Activo,0002 - NO
45780,0001 - NACIONAL,0010 - GRUPO APEX,Bloqueado,0002 - NO
43624,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
200382,0002 - IMPORTADO,0165 - VERA,Activo,0002 - NO
91272,0001 - NACIONAL,0042 - DESTISOL,Bloqueado,0002 - NO
373019,0001 - NACIONAL,0083 - INCA,Inactivo,0002 - NO
373100,0001 - NACIONAL,0083 - INCA,Inactivo,0002 - NO
431825,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
432203,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
432260,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
