codigo_producto,descripcion,unidad,factor,Proveedor
18,CANDADO BARRILITO LATON L-30 VERA,C12 ,12,VERA
18,CANDADO BARRILITO LATON L-30 VERA,C48 ,48,VERA
18,CANDADO BARRILITO LATON L-30 VERA,DNA ,12,VERA
18,CANDADO BARRILITO LATON L-30 VERA,E24 ,24,VERA
18,CANDADO BARRILITO LATON L-30 VERA,UND ,1,VERA
34,CANDADO BARRILITO LATON L-40 VERA,C12 ,12,VERA
34,CANDADO BARRILITO LATON L-40 VERA,C48 ,48,VERA
34,CANDADO BARRILITO LATON L-40 VERA,DNA ,12,VERA
34,CANDADO BARRILITO LATON L-40 VERA,E24 ,24,VERA
34,CANDADO BARRILITO LATON L-40 VERA,UND ,1,VERA
59,CANDADO BARRILITO LATON L-50 VERA       ,C12 ,12,VERA
59,CANDADO BARRILITO LATON L-50 VERA       ,DNA ,12,VERA
59,CANDADO BARRILITO LATON L-50 VERA       ,UND ,1,VERA
75,CANDADO BARRILITO LATON L-70 VERA,C12 ,12,VERA
75,CANDADO BARRILITO LATON L-70 VERA,C6  ,6,VERA
75,CANDADO BARRILITO LATON L-70 VERA,DNA ,12,VERA
75,CANDADO BARRILITO LATON L-70 VERA,E12 ,12,VERA
75,CANDADO BARRILITO LATON L-70 VERA,UND ,1,VERA
976,CANDADO PLANO LATON 40mm 328V VERA,C12 ,12,VERA
976,CANDADO PLANO LATON 40mm 328V VERA,DNA ,12,VERA
976,CANDADO PLANO LATON 40mm 328V VERA,UND ,1,VERA
1008,CANDADO PLANO LATON 40mm 332V VERA,C12 ,12,VERA
1008,CANDADO PLANO LATON 40mm 332V VERA,DNA ,12,VERA
1008,CANDADO PLANO LATON 40mm 332V VERA,E24 ,24,VERA
1008,CANDADO PLANO LATON 40mm 332V VERA,UND ,1,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,C12 ,12,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,C6  ,6,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,DNA ,12,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,E12 ,12,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,UND ,1,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,C12 ,12,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,C6  ,6,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,DNA ,12,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,E12 ,12,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,UND ,1,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,C12 ,12,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,C6  ,6,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,DNA ,12,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,E12 ,12,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,UND ,1,VERA
1503,CANDADO PLANO LATON 30V VERA            ,C12 ,12,VERA
1503,CANDADO PLANO LATON 30V VERA            ,DNA ,12,VERA
1503,CANDADO PLANO LATON 30V VERA            ,UND ,1,VERA
1529,CANDADO PLANO LATON 40V VERA,C12 ,12,VERA
1529,CANDADO PLANO LATON 40V VERA,DNA ,12,VERA
1529,CANDADO PLANO LATON 40V VERA,UND ,1,VERA
1545,CANDADO PLANO LATON 50V VERA,C12 ,12,VERA
1545,CANDADO PLANO LATON 50V VERA,DNA ,12,VERA
1545,CANDADO PLANO LATON 50V VERA,UND ,1,VERA
1602,CANDADO  LATON C/CLAVE C-30  VERA,C12 ,12,VERA
1602,CANDADO  LATON C/CLAVE C-30  VERA,DNA ,12,VERA
1602,CANDADO  LATON C/CLAVE C-30  VERA,UND ,1,VERA
1628,CANDADO  LATON C/CLAVE C-32  VERA,C12 ,12,VERA
1628,CANDADO  LATON C/CLAVE C-32  VERA,DNA ,12,VERA
1628,CANDADO  LATON C/CLAVE C-32  VERA,UND ,1,VERA
1727,CANDADO  LATON CIERRE RAPIDO 40CR  VERA,C12 ,12,VERA
1727,CANDADO  LATON CIERRE RAPIDO 40CR  VERA,DNA ,12,VERA
1727,CANDADO  LATON CIERRE RAPIDO 40CR  VERA,UND ,1,VERA
1735,CANDADO  LATON CIERRE RAPIDO 50CR  VERA,C12 ,12,VERA
1735,CANDADO  LATON CIERRE RAPIDO 50CR  VERA,DNA ,12,VERA
1735,CANDADO  LATON CIERRE RAPIDO 50CR  VERA,UND ,1,VERA
4499,CANDADO ANTICIZALLA 75mm VERA,C12 ,12,VERA
4499,CANDADO ANTICIZALLA 75mm VERA,C6  ,6,VERA
4499,CANDADO ANTICIZALLA 75mm VERA,DNA ,12,VERA
4499,CANDADO ANTICIZALLA 75mm VERA,UND ,1,VERA
4507,CANDADO 65mm VERA,C12 ,12,VERA
4507,CANDADO 65mm VERA,C6  ,6,VERA
4507,CANDADO 65mm VERA,DNA ,12,VERA
4507,CANDADO 65mm VERA,UND ,1,VERA
4515,CANDADO ARCO LGO 65mm VERA              ,C12 ,12,VERA
4515,CANDADO ARCO LGO 65mm VERA              ,C6  ,6,VERA
4515,CANDADO ARCO LGO 65mm VERA              ,DNA ,12,VERA
4515,CANDADO ARCO LGO 65mm VERA              ,UND ,1,VERA
4549,CANDADO TELEF VERA                      ,C12 ,12,VERA
4549,CANDADO TELEF VERA                      ,DNA ,12,VERA
4549,CANDADO TELEF VERA                      ,UND ,1,VERA
5009,CHAPA VERA PUERTA VF-5                  ,C12 ,12,VERA
5009,CHAPA VERA PUERTA VF-5                  ,C60 ,60,VERA
5009,CHAPA VERA PUERTA VF-5                  ,UND ,1,VERA
5025,CHAPA PTA VERA VF6 BEIGE DERECHA TORRE,C12 ,12,VERA
5025,CHAPA PTA VERA VF6 BEIGE DERECHA TORRE,C60 ,60,VERA
5025,CHAPA PTA VERA VF6 BEIGE DERECHA TORRE,UND ,1,VERA
5041,CHAPA  PUERTA VF-6 ORO  VERA,C12 ,12,VERA
5041,CHAPA  PUERTA VF-6 ORO  VERA,C60 ,60,VERA
5041,CHAPA  PUERTA VF-6 ORO  VERA,UND ,1,VERA
5058,CHAPA  PUERTA VF-6 ESMERALDA  VERA,C12 ,12,VERA
5058,CHAPA  PUERTA VF-6 ESMERALDA  VERA,C60 ,60,VERA
5058,CHAPA  PUERTA VF-6 ESMERALDA  VERA,UND ,1,VERA
5066,CHAPA SUPER VERA PUERTA VF-6 BEIG DER (B,C12 ,12,VERA
5066,CHAPA SUPER VERA PUERTA VF-6 BEIG DER (B,C60 ,60,VERA
5066,CHAPA SUPER VERA PUERTA VF-6 BEIG DER (B,UND ,1,VERA
5074,CHAPA  PUERTA VF-6 BEIGE  VERA,C12 ,12,VERA
5074,CHAPA  PUERTA VF-6 BEIGE  VERA,C60 ,60,VERA
5074,CHAPA  PUERTA VF-6 BEIGE  VERA,UND ,1,VERA
5116,CHAPA  PUERTA VF-6 IZQUIERDA BEIGE  VERA,C12 ,12,VERA
5116,CHAPA  PUERTA VF-6 IZQUIERDA BEIGE  VERA,C60 ,60,VERA
5116,CHAPA  PUERTA VF-6 IZQUIERDA BEIGE  VERA,UND ,1,VERA
5124,CHAPA  PUERTA VF-6 IZQUIERDA ORO  VERA,C12 ,12,VERA
5124,CHAPA  PUERTA VF-6 IZQUIERDA ORO  VERA,C60 ,60,VERA
5124,CHAPA  PUERTA VF-6 IZQUIERDA ORO  VERA,UND ,1,VERA
5140,CHAPA  PUERTA VF-6S ORO  VERA,C12 ,12,VERA
5140,CHAPA  PUERTA VF-6S ORO  VERA,C60 ,60,VERA
5140,CHAPA  PUERTA VF-6S ORO  VERA,UND ,1,VERA
5181,CERRAD PUERTA VF6S BEIGE PERI SEGUR VERA,C12 ,12,VERA
5181,CERRAD PUERTA VF6S BEIGE PERI SEGUR VERA,C60 ,60,VERA
5181,CERRAD PUERTA VF6S BEIGE PERI SEGUR VERA,UND ,1,VERA
5223,CHAPA VERA PUERTA VF-6S ANODI.PERI SEGUR,C12 ,12,VERA
5223,CHAPA VERA PUERTA VF-6S ANODI.PERI SEGUR,C60 ,60,VERA
5223,CHAPA VERA PUERTA VF-6S ANODI.PERI SEGUR,UND ,1,VERA
5249,CHAPA  PUERTA VF6S  INSTAF BEIGE  VERA,C12 ,12,VERA
5249,CHAPA  PUERTA VF6S  INSTAF BEIGE  VERA,C60 ,60,VERA
5249,CHAPA  PUERTA VF6S  INSTAF BEIGE  VERA,UND ,1,VERA
5256,CERRAD  PUERTA VF6 INSTAF BEIGE IZQ VERA,C12 ,12,VERA
5256,CERRAD  PUERTA VF6 INSTAF BEIGE IZQ VERA,C60 ,60,VERA
5256,CERRAD  PUERTA VF6 INSTAF BEIGE IZQ VERA,UND ,1,VERA
5264,CHAPA  PUERTA VF-6S BEIGE IZQUIERDA VERA,C12 ,12,VERA
5264,CHAPA  PUERTA VF-6S BEIGE IZQUIERDA VERA,C60 ,60,VERA
5264,CHAPA  PUERTA VF-6S BEIGE IZQUIERDA VERA,UND ,1,VERA
5272,CERRAD S/PONER VF-6 INSTAF.BEIGE DER,C12 ,12,VERA
5272,CERRAD S/PONER VF-6 INSTAF.BEIGE DER,C28 ,28,VERA
5272,CERRAD S/PONER VF-6 INSTAF.BEIGE DER,C60 ,60,VERA
5272,CERRAD S/PONER VF-6 INSTAF.BEIGE DER,UND ,1,VERA
5280,CERRAD S/PONER VF-6 INSTAF.BEIGE IZQ,C12 ,12,VERA
5280,CERRAD S/PONER VF-6 INSTAF.BEIGE IZQ,C24 ,24,VERA
5280,CERRAD S/PONER VF-6 INSTAF.BEIGE IZQ,C28 ,28,VERA
5280,CERRAD S/PONER VF-6 INSTAF.BEIGE IZQ,C60 ,60,VERA
5280,CERRAD S/PONER VF-6 INSTAF.BEIGE IZQ,UND ,1,VERA
5314,CERRADURA SOBREPONER VF-8 SENCILLA VERA,C24 ,24,VERA
5314,CERRADURA SOBREPONER VF-8 SENCILLA VERA,UND ,1,VERA
5322,CHAPA PUERTA VF8 P/SOL/MAD ORO DER  VERA,C24 ,24,VERA
5322,CHAPA PUERTA VF8 P/SOL/MAD ORO DER  VERA,UND ,1,VERA
5348,CHAPA VERA PUERTA VF-8 P/SOL/MAD ESMERL,C24 ,24,VERA
5348,CHAPA VERA PUERTA VF-8 P/SOL/MAD ESMERL,UND ,1,VERA
5363,CERRAD S/PONER VF8 DER BEIG VERA,C12 ,12,VERA
5363,CERRAD S/PONER VF8 DER BEIG VERA,C24 ,24,VERA
5363,CERRAD S/PONER VF8 DER BEIG VERA,E3  ,3,VERA
5363,CERRAD S/PONER VF8 DER BEIG VERA,E6  ,6,VERA
5363,CERRAD S/PONER VF8 DER BEIG VERA,UND ,1,VERA
5371,CHAPA PUERTA VF-8 P/SOL/MAD IZQ ORO VERA,C24 ,24,VERA
5371,CHAPA PUERTA VF-8 P/SOL/MAD IZQ ORO VERA,UND ,1,VERA
5405,CERRAD S/PONER VF8 IZQ BEIG VERA,C12 ,12,VERA
5405,CERRAD S/PONER VF8 IZQ BEIG VERA,C24 ,24,VERA
5405,CERRAD S/PONER VF8 IZQ BEIG VERA,E3  ,3,VERA
5405,CERRAD S/PONER VF8 IZQ BEIG VERA,E6  ,6,VERA
5405,CERRAD S/PONER VF8 IZQ BEIG VERA,UND ,1,VERA
5504,CERRAD INCR PICO LORO 2CIL NIQUEL VERA,C12 ,12,VERA
5504,CERRAD INCR PICO LORO 2CIL NIQUEL VERA,UND ,1,VERA
5512,CHAPA VERA PUERTA PICO DE LORO SKIN     ,C12 ,12,VERA
5512,CHAPA VERA PUERTA PICO DE LORO SKIN     ,UND ,1,VERA
5637,CERRADURA FORTE DERECHA BEIGE,C12 ,12,VERA
5637,CERRADURA FORTE DERECHA BEIGE,C144,144,VERA
5637,CERRADURA FORTE DERECHA BEIGE,C24 ,24,VERA
5637,CERRADURA FORTE DERECHA BEIGE,C240,240,VERA
5637,CERRADURA FORTE DERECHA BEIGE,C48 ,48,VERA
5637,CERRADURA FORTE DERECHA BEIGE,C6  ,6,VERA
5637,CERRADURA FORTE DERECHA BEIGE,C96 ,96,VERA
5637,CERRADURA FORTE DERECHA BEIGE,E144,144,VERA
5637,CERRADURA FORTE DERECHA BEIGE,E24 ,24,VERA
5637,CERRADURA FORTE DERECHA BEIGE,E96 ,96,VERA
5637,CERRADURA FORTE DERECHA BEIGE,UND ,1,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,C12 ,12,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,C144,144,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,C24 ,24,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,C240,240,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,C48 ,48,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,C6  ,6,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,C96 ,96,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,E144,144,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,E24 ,24,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,E96 ,96,VERA
5652,CERRADURA FORTE IZQUIERDA BEIGE,UND ,1,VERA
5710,CHAPA SUPER VERA PUERTA VF-6 GRIS DERECH,C12 ,12,VERA
5710,CHAPA SUPER VERA PUERTA VF-6 GRIS DERECH,C60 ,60,VERA
5710,CHAPA SUPER VERA PUERTA VF-6 GRIS DERECH,UND ,1,VERA
5728,CHAPA SUPER VERA PUERTA VF-6 ORO DERECHA,C12 ,12,VERA
5728,CHAPA SUPER VERA PUERTA VF-6 ORO DERECHA,C60 ,60,VERA
5728,CHAPA SUPER VERA PUERTA VF-6 ORO DERECHA,UND ,1,VERA
5751,CERRAD SUPER VERA PUERTA VF6 BEIG IZQ (B,C12 ,12,VERA
5751,CERRAD SUPER VERA PUERTA VF6 BEIG IZQ (B,C60 ,60,VERA
5751,CERRAD SUPER VERA PUERTA VF6 BEIG IZQ (B,UND ,1,VERA
5769,CHAPA SUPER VERA PUERTA VF-6 ORO IZQUIER,C12 ,12,VERA
5769,CHAPA SUPER VERA PUERTA VF-6 ORO IZQUIER,C60 ,60,VERA
5769,CHAPA SUPER VERA PUERTA VF-6 ORO IZQUIER,UND ,1,VERA
5835,CHAPA PTA VF-6 B.EMBUT INSTF.BEIG DERECH,C12 ,12,VERA
5835,CHAPA PTA VF-6 B.EMBUT INSTF.BEIG DERECH,C60 ,60,VERA
5835,CHAPA PTA VF-6 B.EMBUT INSTF.BEIG DERECH,UND ,1,VERA
6502,CERRAD S/PONER VF7 BEIG VERA            ,C12 ,12,VERA
6502,CERRAD S/PONER VF7 BEIG VERA            ,UND ,1,VERA
6536,CERRAD S/PONER VF7 PESTAÑA BEIG VERA    ,C12 ,12,VERA
6536,CERRAD S/PONER VF7 PESTAÑA BEIG VERA    ,UND ,1,VERA
6817,CHAPA  PUERTA VF-6 T.V DER ORO  VERA,C12 ,12,VERA
6817,CHAPA  PUERTA VF-6 T.V DER ORO  VERA,C60 ,60,VERA
6817,CHAPA  PUERTA VF-6 T.V DER ORO  VERA,UND ,1,VERA
6833,CHAPA PUERTA VF-6 T.V DER ESMERALDA VERA,C12 ,12,VERA
6833,CHAPA PUERTA VF-6 T.V DER ESMERALDA VERA,C60 ,60,VERA
6833,CHAPA PUERTA VF-6 T.V DER ESMERALDA VERA,UND ,1,VERA
6858,CERRADURA  PUERTA VF6 T.V DER BEIGE VERA,C12 ,12,VERA
6858,CERRADURA  PUERTA VF6 T.V DER BEIGE VERA,C60 ,60,VERA
6858,CERRADURA  PUERTA VF6 T.V DER BEIGE VERA,UND ,1,VERA
6874,CHAPA  PUERTA VF-6 T.V DER ARENA  VERA,C12 ,12,VERA
6874,CHAPA  PUERTA VF-6 T.V DER ARENA  VERA,C60 ,60,VERA
6874,CHAPA  PUERTA VF-6 T.V DER ARENA  VERA,UND ,1,VERA
6932,CHAPA VERA PUERTA VF-6 T.V DER ANODIZADA,C12 ,12,VERA
6932,CHAPA VERA PUERTA VF-6 T.V DER ANODIZADA,C60 ,60,VERA
6932,CHAPA VERA PUERTA VF-6 T.V DER ANODIZADA,UND ,1,VERA
6981,CHAPA VERA PUERTA VF-6C TV ORO     C/CAD,C12 ,12,VERA
6981,CHAPA VERA PUERTA VF-6C TV ORO     C/CAD,C60 ,60,VERA
6981,CHAPA VERA PUERTA VF-6C TV ORO     C/CAD,UND ,1,VERA
7013,CHAPA VERA PUERTA VF-6C TV BEIGE   C/CAD,C12 ,12,VERA
7013,CHAPA VERA PUERTA VF-6C TV BEIGE   C/CAD,C60 ,60,VERA
7013,CHAPA VERA PUERTA VF-6C TV BEIGE   C/CAD,UND ,1,VERA
7211,CHAPA PTA VF-6MS BEIGE DERECH PL C/TORRE,C12 ,12,VERA
7211,CHAPA PTA VF-6MS BEIGE DERECH PL C/TORRE,C60 ,60,VERA
7211,CHAPA PTA VF-6MS BEIGE DERECH PL C/TORRE,UND ,1,VERA
7229,CHAPA PTA VF-6MS BEIGE IZQUIE PL C/TORRE,C12 ,12,VERA
7229,CHAPA PTA VF-6MS BEIGE IZQUIE PL C/TORRE,C60 ,60,VERA
7229,CHAPA PTA VF-6MS BEIGE IZQUIE PL C/TORRE,UND ,1,VERA
7237,CHAPA VERA PUERTA VF6-MS BEIGE,C12 ,12,VERA
7237,CHAPA VERA PUERTA VF6-MS BEIGE,C60 ,60,VERA
7237,CHAPA VERA PUERTA VF6-MS BEIGE,UND ,1,VERA
7278,CHAPA VERA PUERTA VF6-MS BEIGE IZQUIERDA,C12 ,12,VERA
7278,CHAPA VERA PUERTA VF6-MS BEIGE IZQUIERDA,C60 ,60,VERA
7278,CHAPA VERA PUERTA VF6-MS BEIGE IZQUIERDA,UND ,1,VERA
7310,CHAPA VERA PUERTA VF-6MS INST.BEIGE DER ,C12 ,12,VERA
7310,CHAPA VERA PUERTA VF-6MS INST.BEIGE DER ,C60 ,60,VERA
7310,CHAPA VERA PUERTA VF-6MS INST.BEIGE DER ,UND ,1,VERA
7328,CHAPA VERA PUERTA VF-6MS INST.BEIGE IZQU,C12 ,12,VERA
7328,CHAPA VERA PUERTA VF-6MS INST.BEIGE IZQU,C60 ,60,VERA
7328,CHAPA VERA PUERTA VF-6MS INST.BEIGE IZQU,UND ,1,VERA
7419,CHAPA PTA VERA VF6MS INSTAF BEIG DER B.P,C12 ,12,VERA
7419,CHAPA PTA VERA VF6MS INSTAF BEIG DER B.P,C60 ,60,VERA
7419,CHAPA PTA VERA VF6MS INSTAF BEIG DER B.P,UND ,1,VERA
7427,CHAPA PTA VERA VF6MS INSTAF BEIG IZQ B.P,C12 ,12,VERA
7427,CHAPA PTA VERA VF6MS INSTAF BEIG IZQ B.P,C60 ,60,VERA
7427,CHAPA PTA VERA VF6MS INSTAF BEIG IZQ B.P,UND ,1,VERA
7450,CERRAD S/PONER VF6 DER BEIGINST1VEZ VERA,C12 ,12,VERA
7450,CERRAD S/PONER VF6 DER BEIGINST1VEZ VERA,UND ,1,VERA
7468,CERRAD S/PONER VF6 IZQ BEIGINST1VEZ VERA,C12 ,12,VERA
7468,CERRAD S/PONER VF6 IZQ BEIGINST1VEZ VERA,UND ,1,VERA
9985,CERRAD GAVETA 1550 LATON CIL SKIN VERA,C12 ,12,VERA
9985,CERRAD GAVETA 1550 LATON CIL SKIN VERA,C20 ,20,VERA
9985,CERRAD GAVETA 1550 LATON CIL SKIN VERA,UND ,1,VERA
9993,CHAPA CONTI GAVETA CIL 050 LATONADA,C12 ,12,VERA
9993,CHAPA CONTI GAVETA CIL 050 LATONADA,UND ,1,VERA
10009,CERRADURA MUEBLE 1550 LATONADA  VERA,C12 ,12,VERA
10009,CERRADURA MUEBLE 1550 LATONADA  VERA,C48 ,48,VERA
10009,CERRADURA MUEBLE 1550 LATONADA  VERA,E48 ,48,VERA
10009,CERRADURA MUEBLE 1550 LATONADA  VERA,E96 ,96,VERA
10009,CERRADURA MUEBLE 1550 LATONADA  VERA,UND ,1,VERA
10017,CERRAD MUEBLE 1550 NIQUEL VERA,C12 ,12,VERA
10017,CERRAD MUEBLE 1550 NIQUEL VERA,C48 ,48,VERA
10017,CERRAD MUEBLE 1550 NIQUEL VERA,E48 ,48,VERA
10017,CERRAD MUEBLE 1550 NIQUEL VERA,E96 ,96,VERA
10017,CERRAD MUEBLE 1550 NIQUEL VERA,UND ,1,VERA
10025,CERRAD MUEBLE 1550 PAV VERA             ,C12 ,12,VERA
10025,CERRAD MUEBLE 1550 PAV VERA             ,UND ,1,VERA
10033,CHAPA  GAVETA CIL 1551  VERA,C12 ,12,VERA
10033,CHAPA  GAVETA CIL 1551  VERA,UND ,1,VERA
10082,CERRAD MUEBLE 1555 NIQUEL BL VERA,C20 ,20,VERA
10082,CERRAD MUEBLE 1555 NIQUEL BL VERA,UND ,1,VERA
10090,CERRAD MUEBLE 1555 NIQUEL VERA,C12 ,12,VERA
10090,CERRAD MUEBLE 1555 NIQUEL VERA,C48 ,48,VERA
10090,CERRAD MUEBLE 1555 NIQUEL VERA,E48 ,48,VERA
10090,CERRAD MUEBLE 1555 NIQUEL VERA,E96 ,96,VERA
10090,CERRAD MUEBLE 1555 NIQUEL VERA,UND ,1,VERA
10108,CERRAD MUEBLE 1560 LAT VERA,C12 ,12,VERA
10108,CERRAD MUEBLE 1560 LAT VERA,C48 ,48,VERA
10108,CERRAD MUEBLE 1560 LAT VERA,E48 ,48,VERA
10108,CERRAD MUEBLE 1560 LAT VERA,E96 ,96,VERA
10108,CERRAD MUEBLE 1560 LAT VERA,UND ,1,VERA
10116,CERRAD MUEBLE 1560 NIQUELADA VERA,C12 ,12,VERA
10116,CERRAD MUEBLE 1560 NIQUELADA VERA,C48 ,48,VERA
10116,CERRAD MUEBLE 1560 NIQUELADA VERA,E48 ,48,VERA
10116,CERRAD MUEBLE 1560 NIQUELADA VERA,E96 ,96,VERA
10116,CERRAD MUEBLE 1560 NIQUELADA VERA,UND ,1,VERA
10132,CERRAD GAVETA CIL 1560 LATON SKIN VERA,C20 ,20,VERA
10132,CERRAD GAVETA CIL 1560 LATON SKIN VERA,UND ,1,VERA
10207,CERRAD VITRINA 1557 NIQUEL VERA,C12 ,12,VERA
10207,CERRAD VITRINA 1557 NIQUEL VERA,C48 ,48,VERA
10207,CERRAD VITRINA 1557 NIQUEL VERA,E48 ,48,VERA
10207,CERRAD VITRINA 1557 NIQUEL VERA,E96 ,96,VERA
10207,CERRAD VITRINA 1557 NIQUEL VERA,UND ,1,VERA
10215,CERRAD VERA VITRINA T/LARGO 1557 SKIN   ,C12 ,12,VERA
10215,CERRAD VERA VITRINA T/LARGO 1557 SKIN   ,UND ,1,VERA
11007,CHAPA VERA CLOSET 27 MM LATONADA,C12 ,12,VERA
11007,CHAPA VERA CLOSET 27 MM LATONADA,UND ,1,VERA
11049,CHAPA  CLOSET 27 MM NIQUELADA  VERA,C12 ,12,VERA
11049,CHAPA  CLOSET 27 MM NIQUELADA  VERA,UND ,1,VERA
11080,CHAPA  CLOSET 27 MM ZAMAC  VERA         ,C12 ,12,VERA
11080,CHAPA  CLOSET 27 MM ZAMAC  VERA         ,UND ,1,VERA
11205,CERRAD MUEBLE CLOSET 30mm LAT VERA,C12 ,12,VERA
11205,CERRAD MUEBLE CLOSET 30mm LAT VERA,C48 ,48,VERA
11205,CERRAD MUEBLE CLOSET 30mm LAT VERA,E48 ,48,VERA
11205,CERRAD MUEBLE CLOSET 30mm LAT VERA,E96 ,96,VERA
11205,CERRAD MUEBLE CLOSET 30mm LAT VERA,UND ,1,VERA
11247,CHAPA  CLOSET 37 MM LATONADA  VERA,C12 ,12,VERA
11247,CHAPA  CLOSET 37 MM LATONADA  VERA,UND ,1,VERA
11288,CHAPA  CLOSET 37 MM NIQUELADA  VERA,C12 ,12,VERA
11288,CHAPA  CLOSET 37 MM NIQUELADA  VERA,UND ,1,VERA
12005,CHAPA  BAUL 1  VERA,C12 ,12,VERA
12005,CHAPA  BAUL 1  VERA,UND ,1,VERA
12039,CHAPA  BAUL 1.1/4  VERA,C12 ,12,VERA
12039,CHAPA  BAUL 1.1/4  VERA,UND ,1,VERA
12062,CHAPA  BAUL 1.1/2  VERA,C12 ,12,VERA
12062,CHAPA  BAUL 1.1/2  VERA,UND ,1,VERA
12534,CHAPA  MUEBLE 1927 LATONADA  VERA,C12 ,12,VERA
12534,CHAPA  MUEBLE 1927 LATONADA  VERA,UND ,1,VERA
13029,ACCIONADOR TAPA     CHAPA VF-6,UND ,1,VERA
13136,CILINDRO TAMBOR VF8 ZAMAC               ,UND ,1,VERA
13151,CILINDRO EXTERIOR ARMADO ZAMAC NIQUEL,UND ,1,VERA
13185,COLAS CILINDRO CHAPA  VF-6,UND ,1,VERA
13284,PLANCHUELA PARA CHAPA VF-6,UND ,1,VERA
13300,RECIBIDOR CHAPA VF-6,UND ,1,VERA
13466,HEMBRA PASADOR G 2-2.1/2,UND ,1,VERA
14183,BLANCO DE LLAVE DER NIQUEL 1000 VERA,B100,100,VERA
14183,BLANCO DE LLAVE DER NIQUEL 1000 VERA,C50 ,50,VERA
14183,BLANCO DE LLAVE DER NIQUEL 1000 VERA,E600,600,VERA
14183,BLANCO DE LLAVE DER NIQUEL 1000 VERA,UND ,1,VERA
14209,BLANCO DE LLAVE IZQ NIQUEL 1000R VERA,B100,100,VERA
14209,BLANCO DE LLAVE IZQ NIQUEL 1000R VERA,C50 ,50,VERA
14209,BLANCO DE LLAVE IZQ NIQUEL 1000R VERA,E500,500,VERA
14209,BLANCO DE LLAVE IZQ NIQUEL 1000R VERA,UND ,1,VERA
14365,BLANCO DE LLAVE LAT 1550 VERA,B100,100,VERA
14365,BLANCO DE LLAVE LAT 1550 VERA,C50 ,50,VERA
14365,BLANCO DE LLAVE LAT 1550 VERA,UND ,1,VERA
14977,BISAGRA NUDO VERA 3.1/2 TROPI.CT C.PLANA,C24 ,24,VERA
14977,BISAGRA NUDO VERA 3.1/2 TROPI.CT C.PLANA,UND ,1,VERA
15008,BISAGRA NUDO 2.1/2 HR CR CL 14  VERA,C24 ,24,VERA
15008,BISAGRA NUDO 2.1/2 HR CR CL 14  VERA,UND ,1,VERA
15032,BISAGRA NUDO  3 HR  CL 14  VERA,C24 ,24,VERA
15032,BISAGRA NUDO  3 HR  CL 14  VERA,UND ,1,VERA
15065,BISAGRA NUDO  3.1/2 HR CL 14  VERA,C24 ,24,VERA
15065,BISAGRA NUDO  3.1/2 HR CL 14  VERA,UND ,1,VERA
15099,BISAGRA NUDO 2.1/2 HR C/T CR CL 14 VERA,C24 ,24,VERA
15099,BISAGRA NUDO 2.1/2 HR C/T CR CL 14 VERA,UND ,1,VERA
15107,BISAGRA NUDO 3 HR C/T CL 14  VERA,C24 ,24,VERA
15107,BISAGRA NUDO 3 HR C/T CL 14  VERA,UND ,1,VERA
15115,BISAG NUDO HRO CP ST C14 3.1/2pg VERA,C24 ,24,VERA
15115,BISAG NUDO HRO CP ST C14 3.1/2pg VERA,UND ,1,VERA
15156,BISAGRA NUDO 2.1/2 LATON CL 14  VERA,C24 ,24,VERA
15156,BISAGRA NUDO 2.1/2 LATON CL 14  VERA,UND ,1,VERA
15180,BISAGRA NUDO 3 LATON CL 14  VERA,C24 ,24,VERA
15180,BISAGRA NUDO 3 LATON CL 14  VERA,UND ,1,VERA
15214,BISAGRA NUDO 3.1/2 LATON CL 14  VERA,C24 ,24,VERA
15214,BISAGRA NUDO 3.1/2 LATON CL 14  VERA,UND ,1,VERA
15248,BISAGRA NUDO 2.1/2 LATON C/T CL 14  VERA,C24 ,24,VERA
15248,BISAGRA NUDO 2.1/2 LATON C/T CL 14  VERA,UND ,1,VERA
15255,BISAGRA NUDO 3 LATON C/T CL 14  VERA,C24 ,24,VERA
